TAG,TEXT,LINK
<p>,"Multi-disciplinary Undergraduate, Postgraduate and PhD Programmes","http://thapar.edu"
<p>,"Credit Transfer Programme with Trinity College Dublin (Ireland)","http://thapar.edu"
<p>,"250-acre campus, state-of-the-art research facilities, wi-fi enabled smart classrooms and much more...","http://thapar.edu"
<p>,"8th","http://thapar.edu"
<p>,"amongst Top Universities in Terms of Placements Across India","http://thapar.edu"
<p>,"23 rd","http://thapar.edu"
<p>,"NIRF 2019 (Engineering)","http://thapar.edu"
<p>,"21st","http://thapar.edu"
<p>,"amongst Best Business Schools in India","http://thapar.edu"
<p>,"A+","http://thapar.edu"
<p>,"Grade NAAC Accredited","http://thapar.edu"
<p>,"43","http://thapar.edu"
<p>,"Lakhs Highest Package","http://thapar.edu"
<p>,"801-1000","http://thapar.edu"
<p>,"QS World University Rankings 2020","http://thapar.edu"
<p>,"9500 +","http://thapar.edu"
<p>,"students","http://thapar.edu"
<p>,"250","http://thapar.edu"
<p>,"acres campus","http://thapar.edu"
<p>,"16","http://thapar.edu"
<p>,"centres of excellence","http://thapar.edu"
<p>,"601-800","http://thapar.edu"
<p>,"Times Higher Education (THE) World University Ranking 2020","http://thapar.edu"
<p>,"261-270","http://thapar.edu"
<p>,"QS AsiaUniversity Rankings 2020","http://thapar.edu"
<p>,"151-200","http://thapar.edu"
<p>,"Times Higher Education (THE) Golden Age University Rankings 2018","http://thapar.edu"
<p>,"","http://thapar.edu"
<p>,"30 th","http://thapar.edu"
<p>,"QS India University Rankings 2020","http://thapar.edu"
<p>,"551-600","http://thapar.edu"
<p>,"QS Computer Science Subject Rankings 2020","http://thapar.edu"
<p>,"451-500","http://thapar.edu"
<p>,"QS Electrical & Electronic Subject Rankings 2020","http://thapar.edu"
<p>,"","http://thapar.edu"
<p>,"8th","http://thapar.edu"
<p>,"amongst Top Universities in Terms of Placements Across India","http://thapar.edu"
<p>,"21st","http://thapar.edu"
<p>,"amongst Best Business Schools in India","http://thapar.edu"
<p>,"26th","http://thapar.edu"
<p>,"amongst Top Universities in India","http://thapar.edu"
<p>,"9500 +","http://thapar.edu"
<p>,"students","http://thapar.edu"
<p>,"250","http://thapar.edu"
<p>,"acres campus","http://thapar.edu"
<p>,"16","http://thapar.edu"
<p>,"centres of excellence","http://thapar.edu"
<p>,"601-800","http://thapar.edu"
<p>,"Times Higher Education (THE) World University Ranking 2020","http://thapar.edu"
<p>,"30 th","http://thapar.edu"
<p>,"QS India University Rankings 2020","http://thapar.edu"
<p>,"151-200","http://thapar.edu"
<p>,"Times Higher Education (THE) Golden Age University Rankings 2018","http://thapar.edu"
<p>,"The Thapar Institute of Engineering & Technology here on 19 Jan 2018, Friday signed a comprehensive institutional agreement with Israel's Tel Aviv University (TAU), covering...","http://thapar.edu"
<p>,"Event full of uplifting stories at Thapar Institute of Engineering & Technology...","http://thapar.edu"
<p>,"Thapar Institute of Engineering & Technology ties up with Trinity College...","http://thapar.edu"
<p>,"Thapar Institute of Engineering & Technology earns Accreditation from Engineering Accreditation Commission (EAC) of ABET...","http://thapar.edu"
<p>,"Thapar Institute of Engineering & Technology is proud to share that its placements for the year 2011-12 are expected to touch 100% mark....","http://thapar.edu"
<p>,"ISCBC Conference-2021","http://thapar.edu"
<p>,"","http://thapar.edu"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu"
<p>,"Subscribe To our newsletter","http://thapar.edu"
<p>,"","http://thapar.edu"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu"
<p>,"","http://thapar.edu"
<p>,"+91-175-2393021","http://thapar.edu"
<p>,"info@thapar.edu","http://thapar.edu"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu"
<p>,"admissions@thapar.edu","http://thapar.edu"
<p>,"Applications queries +91-8882134828","http://thapar.edu"
<p>,"technical_support@thapar.edu","http://thapar.edu"
<p>,"Multi-disciplinary Undergraduate, Postgraduate and PhD Programmes","http://thapar.edu/"
<p>,"Credit Transfer Programme with Trinity College Dublin (Ireland)","http://thapar.edu/"
<p>,"250-acre campus, state-of-the-art research facilities, wi-fi enabled smart classrooms and much more...","http://thapar.edu/"
<p>,"8th","http://thapar.edu/"
<p>,"amongst Top Universities in Terms of Placements Across India","http://thapar.edu/"
<p>,"23 rd","http://thapar.edu/"
<p>,"NIRF 2019 (Engineering)","http://thapar.edu/"
<p>,"21st","http://thapar.edu/"
<p>,"amongst Best Business Schools in India","http://thapar.edu/"
<p>,"A+","http://thapar.edu/"
<p>,"Grade NAAC Accredited","http://thapar.edu/"
<p>,"43","http://thapar.edu/"
<p>,"Lakhs Highest Package","http://thapar.edu/"
<p>,"801-1000","http://thapar.edu/"
<p>,"QS World University Rankings 2020","http://thapar.edu/"
<p>,"9500 +","http://thapar.edu/"
<p>,"students","http://thapar.edu/"
<p>,"250","http://thapar.edu/"
<p>,"acres campus","http://thapar.edu/"
<p>,"16","http://thapar.edu/"
<p>,"centres of excellence","http://thapar.edu/"
<p>,"601-800","http://thapar.edu/"
<p>,"Times Higher Education (THE) World University Ranking 2020","http://thapar.edu/"
<p>,"261-270","http://thapar.edu/"
<p>,"QS AsiaUniversity Rankings 2020","http://thapar.edu/"
<p>,"151-200","http://thapar.edu/"
<p>,"Times Higher Education (THE) Golden Age University Rankings 2018","http://thapar.edu/"
<p>,"","http://thapar.edu/"
<p>,"30 th","http://thapar.edu/"
<p>,"QS India University Rankings 2020","http://thapar.edu/"
<p>,"551-600","http://thapar.edu/"
<p>,"QS Computer Science Subject Rankings 2020","http://thapar.edu/"
<p>,"451-500","http://thapar.edu/"
<p>,"QS Electrical & Electronic Subject Rankings 2020","http://thapar.edu/"
<p>,"","http://thapar.edu/"
<p>,"8th","http://thapar.edu/"
<p>,"amongst Top Universities in Terms of Placements Across India","http://thapar.edu/"
<p>,"21st","http://thapar.edu/"
<p>,"amongst Best Business Schools in India","http://thapar.edu/"
<p>,"26th","http://thapar.edu/"
<p>,"amongst Top Universities in India","http://thapar.edu/"
<p>,"9500 +","http://thapar.edu/"
