"url","text"
"https://pec.ac.in/institute/email-services","Webmail"
"https://pec.ac.in/jobs","Jobs"
"https://pec.ac.in/tenders","Tenders"
"https://pec.ac.in/office-orders","Office Orders"
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/nirf-data-20","NIRF"
"https://pec.ac.in/node/549","RTI"
"https://pec.ac.in/tnp/about-cell","Placements"
"https://pec.ac.in/institute-functionaries","Contact Us"
"https://pec.ac.in/",""
"https://pec.ac.in/","Home"
"https://pec.ac.in/institute","Institute"
"https://pec.ac.in/history","History"
"https://pec.ac.in/vision","Vision & Mission"
"https://pec.ac.in/campus","Campus"
"https://pec.ac.in/location","Location"
"https://pec.ac.in/all_events","News and Events"
"https://pec.ac.in/tenders","Tenders & Quotations"
"https://pec.ac.in/balance-sheets","Balance Sheets"
"https://pec.ac.in/faculty-affairs","Faculty Affairs"
"https://pec.ac.in/institute/iqac-reports","IQAC Reports"
"https://pec.ac.in/administration","Administration"
"https://pec.ac.in/board-of-governors","Board Of Governors"
"https://pec.ac.in/chairman-bog","Chairman, Board of Governors"
"https://pec.ac.in/director","Director"
"https://pec.ac.in/senate-members","Senate Members"
"https://pec.ac.in/building-works-committee","Building & Works Committee"
"https://pec.ac.in/finance-committee","Finance Committee"
"https://pec.ac.in/grievance-redressal-committee","Grievance Redressal Committee"
"https://pec.ac.in/institute-functionaries","Institute Functionaries"
"https://pec.ac.in/minutes-meetings","Minutes of Meetings"
"https://pec.ac.in/programmes","Programmes"
"https://pec.ac.in/programmes/ug/structure","Undergraduate"
"https://pec.ac.in/programmes/pg/structure","Postgraduate"
"https://pec.ac.in/programmes/phd","Doctorate"
"https://pec.ac.in/programmes/student-support","Academic Support for Students"
"https://pec.ac.in/programmes/accreditation","Accreditation"
"https://pec.ac.in/programmes/scholarships","Scholarships"
"https://pec.ac.in/iqac/aqar-reports","IQAC Reports"
"https://pec.ac.in/admissions","Admissions"
"https://pec.ac.in/academic-units","Academic Units"
"https://pec.ac.in/departments","Departments"
"https://pec.ac.in/centres","Centres"
"https://pec.ac.in/research/overview","Research"
"https://pec.ac.in/research/overview","Overview"
"https://pec.ac.in/research-groups","Research Groups"
"https://pec.ac.in/sponsored-research","Sponsored Research"
"https://pec.ac.in/house-projects","In-House Projects"
"https://pec.ac.in/consultancy","Consultancy"
"https://pec.ac.in/courses-and-conferences","Courses and Conferences"
"https://pec.ac.in/yrf/about-programme","Young Research Fellows Programme"
"https://pec.ac.in/norms-and-forms","Norms and Forms"
"https://pec.ac.in/research/contacts","Contacts"
"https://pec.ac.in/campus-life","Campus Life"
"https://pec.ac.in/current-students","Students"
"https://pec.ac.in/facilities","Facilities"
"https://pec.ac.in/events/mou-signed-between-pec-and-bansal-envirotech","MoU signed between PEC and Bansal EnviroTech"
"https://pec.ac.in/events/mou-signed-between-pec-and-kisco-india-private-limited-kipl","MoU signed between PEC and KISCO India Private Limited (KIPL)"
"https://pec.ac.in/events/homecoming-2020-first-annual-alumni-meet","Homecoming 2020: First Annual Alumni Meet"
"https://pec.ac.in/events/siemens-center-excellence-inaugurated-pec","Siemens Center of Excellence Inaugurated at PEC"
"https://pec.ac.in/donations/distinguished-alumnus-award","Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020."
